ps_id,epe_service,epe_start,epe_end,epe_contract_value,epe_stages,epe_high_risk,epe_contract_type,epe_gia,epe_description_1,epe_description_2,epe_description_3,epe_notes,data_origin,e_id,pm_id,temp_sort
5,Electrical Engineer,2022,2025,7000000,01-Jun,FALSE,JCT,1260 M²,"I have designed the electrical elements and over seen the construction of several new buildings on this site, a new build D&B Art/ Textiles and design and technology block. Completed in 2023, and the refurbishment of an existing building into a new food technology facility and a new PE classroom and Gym. Completed March 2025 A new 9 classroom block has recently been designed and is currently out to tender for completion in August 2026. Lead electrical engineer. Busy working school site, upgrading the main electrical infrastructure has been necessary to implement the new buildings, so dealing with SSEN from an early stage was required, to increase electrical load on the site requires a new 500kVA transformer.",,,Use this for demo,demo,3,1,1
5,Quantity Surveyor,2020,2022,26000000,RIBA 2-6,FALSE,NEC3 Option A,"10,942m2","The project was to build a new secondary school complete with external works and demolition of the existing school. The project successfully delivered a modern teaching block, expanded capacity to over 1,700 students, and retained key facilities. It created a sustainable, future-ready campus that enhances learning, wellbeing, and community engagement in the area.",My role was Quantity Surveyor during RIBA stages 2-6 providing support to the Project Manager and carry out their delegated duties to agree Payment Assessments and Compensation Events.,"The project was competitively tendered and procured via a two-stage tender. An NEC3 Professional Services Contract was awarded to develop the design. During the PSC period Client design changes were introduced which increased costs which had to be managed. In addition, prior to the Contract starting on site the pandemic hit the country and additional safety measures and costs had to be introduced including a prolonged programme and preliminaries as a result of restrictions of people attending the site and lower productivity. Despite all this, the project was completed on time and within budget.",Use this for demo,demo,63,2,2
5,Quantity Surveyor,2020,2022,24000000,RIBA 2-6,FALSE,,"8,916m2","The project was to build a new secondary school complete with external works. The development included a sports hall, and a specialist SEN unit which overall supported c1,200 pupils. The project aimed to meet rising local demand and foster inclusive, high-quality education in the area.",My role was Quantity Surveyor during RIBA stages 2-6 providing support to the Project Manager and carry out their delegated duties to agree Payment Assessments and Compensation Events.,"The project was a two-stage direct award, with the price negotiated with the second lowest tenderer from the project. An NEC3 Professional Services Contract was awarded to develop the design. The project costs were market tested to demonstrate value for money. Prior to the Contract starting on site the pandemic hit the country and additional safety measures and costs had to be introduced including additional safety measures including segregation of operatives into working areas to maintain social distancing, which involved the design of one-way systems around the building site. Despite all this, the project was completed on time and within budget.",Use this for demo,demo,63,3,3
5,Quantity Surveyor,2021,2022,9000000,RIBA2-6,FALSE,NEC3 Option A,"2,653m2",The project was to build a new SEN college complete with external works.,My role was Quantity Surveyor during RIBA stages 2-6 providing support to the Project Manager and carry out their delegated duties to agree Payment Assessments and Compensation Events.,"Two stage negotiated tender constructed on the adjacent site to the Academy. The Contractor had use of the same large site compound used for the Academy, which was positioned away from the new school entrances, so site traffic was able to be kept away from pupils and staff who were now attending the previously delivered school.",Use this for demo,demo,63,4,4
11,Architectural Assistant,2024,2025,20000000,4,FALSE,JCT Traditional,"1,234m²","New community centre with hall, studio space, café and meeting rooms, new doctors surgery, car park and public outside spaces.",Responsible for assisting lead architect to deliver architectural services through stage 4.,"The site of the new community hub is very steeply sloped and has poor ground conditions. This requires the extensive ground works, retaining walls and piling.",Use this for demo,demo,48,5,5
5,Quantity Surveyor,2021,,9000000,02-Jun,FALSE,JCT Design & Build 2016,"239, 303 & 2,493m2","Phase 1 single and two storey modular temporary classroom blocks. Phase 2 refurbishment, and new three storey 17 classroom block with SEN unit, ICT lab, sixth form and cafeteria for students. The new block allows the school to accommodate an increased pupil intake, with the capacity increasing from 220 PAN to 280 PAN. ",Quantity Surveyor throughout phase 1 and 2 main contracts and for phase 2 head contract documents between client and City Council.,"The School was part of the Building Schools for the Future (BSF) program, using a Private Finance Initiative (PFI). Both subsequent phases therefore involved a wide team of stakeholders including the City Council, the school, PFI consortium and maintenance provider. Phase 1 was provision and rental of modular units through separate main contractor until completion of phase 2.",Use this for demo,demo,68,6,6
3,Quantity Surveyor,2021,2024,20000000,02-Apr,FALSE,NEC4 PSC & ECC Option A,"6,568m2","Design & build new three storey apartment block. The Care home will offer 65 energy-efficient apartments for over-55s, with care facilities and communal spaces including a restaurant, hair salon, and a lounge with coffee bar. The project will regenerate a two-acre brown field site, support community cohesion through shared spaces, and enhance quality of life for older residents and the wider community.",Lead Quantity Surveyor for negotiation with single tenderer and market testing during stages 3 and 4.,Contractor appointed under PSC following delay to another project from the same programme.,Use this for demo,demo,68,7,7
15,Part 2 Architectural Assistant / Temp Lead,2022,,16000000,03-Apr,FALSE,JCT D&B,1500sqm,"This is a multifunctional community health and sports hub located in proximity of a city Stadium. The development includes three artificial grass football pitches and a large car park. The main pavilion houses a range of community facilities: football changing rooms, a public cafe with kitchen and servery, a pharmacy, a GP surgery with multiple consultation and treatment rooms, administrative offices, and a first-floor gym with dedicated changing facilities and additional office space for medical staff.","Architectural Technician responsible for assisting in Architectural Revit modelling, creating detail drawings and create NBS Specifications document.","Manage NBS Specification Document for the Architect Design Team, make sure all items were specified, and drawings were correct and ready to issue.",Use this for demo,demo,88,8,8
15,Architectural Technician,2019,,10000000,03-Apr,FALSE,JCT D&B,750sqm,"This is a community-focused sports development consisting of three new artificial football pitches and a central pavilion building. The pavilion includes player and staff changing facilities, a café with kitchen and service areas, as well as spaces for community and foundation use. The site also incorporates a car park, bicycle storage, and integrates an existing grass pitch.","Assist in creating the Architectural Revit model, creating Architectural details and Create NBS Specification document.","Manage NBS Specification Document for the Architect Design Team, make sure all items were specified and drawings were correct and ready to issue.",Use this for demo,demo,88,9,9
15,Architectural Technician,2020,,16000000,03-Apr,FALSE,JCT D&B,300sqm/plot,"This is a community-focused sports development consisting of three new artificial football pitches and a central pavilion building. The pavilion includes player and staff changing facilities, a café with kitchen and service areas, as well as spaces for community and foundation use. The site also incorporates a car park, bicycle storage, and integrates an existing grass pitch.","Assist in creating the Architectural Revit model, creating Architectural details and Create NBS Specification document.","Manage NBS Specification Document for the Architect Design Team, make sure all items were specified, and drawings were correct and ready to issue.",Use this for demo,demo,88,10,10
